title,company,job_location,job_state,date,site,job_description,salary,url,applied,search_term
Junior Software Engineer,CRIO,"Remote in Boston, MA",remote,2025-06-19,Indeed,"CRIO (Clinical Research IO) is a health tech company helping pharma, biotech, research sites, and academic research centers streamline regulatory workflows with one system and a single source of clinical data capture. Our modules allow sites to capture data electronically in real-time, providing data managers and monitors with enhanced transparency, and enabling remote monitoring by sponsors and CROs.
CRIO’s eSource and CTMS system is a leading, modern, enterprise platform built for clinical research sites. Since CRIO’s launch in 2016, CRIO has established the leading brand position in eSource and has won close to 50% of the emerging class of enterprise-grade site networks, many of whom are backed by institutional investors such as VC, PE and corporations. CRIO has achieved the attached metrics, all with little to no serious outbound sales or marketing.

Software Engineer
We are looking for a Junior Software Engineer who is eager to learn and grow in their career while contributing to a meaningful cause. An ideal candidate will understand the basics of software development and will be an enthusiastic self-starter, excited to work with experienced team members who can provide mentorship. Our software engineers are passionate about coding, problem-solving, and collaborating on exciting projects that make a real difference in the health tech space.

Responsibilities
Collaborate with senior engineers and team members on various projects.
Assist in developing cloud-based SaaS products and features.
Contribute to the design, implementation, and testing of software components.
Participate in code reviews and learn best practices in software development.
Troubleshoot and debug applications as needed.

Skills
Familiarity with programming languages such as Java, JavaScript, or Python.
Understanding of web technologies (HTML, CSS, JavaScript) and frameworks (React, Angular).
Experience with relational databases (like MySQL) is a plus.
Knowledge of containerization tools such as Docker is beneficial.

Other Skills/Experience
Strong desire to learn and adapt.
Good communication and teamwork skills.
Detail-oriented and a proactive approach to problem-solving.
A positive attitude and eagerness to contribute.
1-2 years Experience in Software Development
Experience with standard software development practices, with exposure to one or more tools such as Jira and/or Github
Bachelor’s Degree or comparable experience in computer science, engineering, or a related field required.

Nice to Have

Internship or project experience in software development.
Exposure to cloud platforms like Google Cloud Platform (GCP).
Experience in healthcare or life sciences domains is a plus.
(Please note that we do not currently provide visa sponsorship for this position. Candidates must possess the legal right to work in the United States without the need for sponsorship.)

Locations
Fully remote.

At CRIO, equality is a core tenet of our culture. We are committed to building an inclusive global team that represents a variety of backgrounds, perspectives, beliefs, and experiences. The more diverse we are, the richer our community and the broader our impact. Employment decisions are made on the basis of job-related criteria without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other classification protected by applicable law.

The pay range for this role is:
80,000 - 100,000 USD per year(Remote (United States))",N/A,https://www.indeed.com/viewjob?jk=46686e4e2ec7380a,False,software engineer
Software Engineer,Sparibis,"Remote in Washington, DC",remote,2025-06-19,Indeed,"Location: 100% remote

Years' Experience: 2+ years

Education: Bachelor's in computer science or software engineering related field

Work Authorization: United States Citizenship is required to be eligible to obtain a Secret security clearance

Clearance: Applicants must be able to obtain and maintain up to a Secret security clearance.

Key Skills:
Software develop experience using Java, JavaScript, Angular, HTML, CSS and other Object-Oriented Programming languages
Experience in CI/CD environment (ie. Docker, Ansible, Jenkins) and scripting languages (Python, Bash, Perl).
Azure Cloud experience preferred
Experience with Version Control Systems such as Git and/or Bitbucket
Responsibilities

Software development with Java, JavaScript, and various scripting languages
Design data models and web APIs and creation of software tasks from system requirements
Perform requirements analysis, design, development, unit, and integration testing of software, troubleshooting and debugging of the system
Immediate responsibilities will include enhancing and maintaining the existing system as well as design, development, and documentation of new features
Usage of Atlassian Tools for day to day tasks within the Scrum process
Implement web services, data persistence access features and external interfaces
Partner closely with front-end and database engineers to ensure features are developed holistically
Follow Agile software development methodology and team architecture standards.
Provide assistance in building CI/CD pipelines within Azure Cloud Environment
Qualifications

Bachelor degree in Computer Science, Software Engineering, or related technical field with software development experience
2+ years professional experience
Must be able to obtain a Secret Security Clearance.
Experience with developing user interfaces using CSS, HTML, JavaScript (jQuery, React)
Experience with design, development, enhancement, troubleshooting and debugging of web applications
Experience developing and integrating complex software systems through the full SDLC
Experience with Agile Scrum
Experience in CI/CD environment (ie. Docker, Jenkins, Ansible, Jenkins, Kubernetes) and scripting languages (Python, Bash, Powershell, Perl)
Experience with Version Control Systems such as Git and/or Bitbucket
Experience with other software technologies such as Nexus, Git, Artifactory, Gradle, Groovy, Gogo, IntelliJ IDEA, or Fortify not required but nice to have
Strong attention to detail
Strong written and verbal communication
About Sparibis

Sparibis LLC is a professional solution firm that Clients rely on to access the best talent to drive their business success.

Sparibis is an equal opportunity employer that values diversity at all levels. All individuals, regardless of personal characteristics, are encouraged to apply.",N/A,https://www.indeed.com/viewjob?jk=5277dfba70dd9936,False,software engineer
Software Engineer,Blueprint Technologies,"Remote in Redmond, WA",remote,2025-06-19,Indeed,"Who is Blueprint?
We are a technology solutions firm headquartered in Bellevue, Washington, with a strong presence across the United States. Unified by a shared passion for solving complicated problems, our people are our greatest asset. We use technology as a tool to bridge the gap between strategy and execution, powered by the knowledge, skills, and expertise of our teams, who all have unique perspectives and years of experience across multiple industries. We're bold, smart, agile, and fun.
What does Blueprint do?
Blueprint helps organizations unlock value from existing assets by leveraging cutting-edge technology to create additional revenue streams and new lines of business. We connect strategy, business solutions, products, and services to transform and grow companies.
Why Blueprint?
At Blueprint, we believe in the power of possibility and are passionate about bringing it to life. Whether you join our bustling product division, our multifaceted services team or you want to grow your career in human resources, your ability to make an impact is amplified when you join one of our teams. You'll focus on solving unique business problems while gaining hands-on experience with the world's best technology. We believe in unique perspectives and build teams of people with diverse skillsets and backgrounds. At Blueprint, you'll have the opportunity to work with multiple clients and teams, such as data science and product development, all while learning, growing, and developing new solutions. We guarantee you won't find a better place to work and thrive than at Blueprint.
In this role:
As a Software Engineer, you will contribute to high-impact, large-scale initiatives across device supply chain, manufacturing, fulfillment, and services. You'll work in a dynamic operations technology team focused on optimizing and modernizing systems through cloud-native solutions and intelligent automation. This role emphasizes hands-on engineering, API development, Azure integration, and live site support — all critical to ensuring efficiency, scalability, and resilience in complex device operations.
Responsibilities:
Design, develop, test, and maintain scalable systems and applications in a cloud environment.
Modify and optimize existing databases and API systems for performance and reliability.
Collaborate with cross-functional teams to define project scope, timelines, and deliverables.
Write detailed logical and physical database descriptions and guide others in implementation.
Review technical requirements and project requests to assess feasibility, time, and cost.
Build, deploy, and manage RESTful APIs using C# and Azure-native tools.
Support production systems with proactive monitoring, troubleshooting, and incident resolution.
Integrate AI services (e.g., Azure Cognitive Services, Azure OpenAI) to enhance system capabilities.
Contribute to live site engineering practices, including telemetry, alerting, and system reliability strategies.
Required Qualifications:
Experience: Minimum of 8–10 years of software engineering experience.
Cloud Expertise: Strong hands-on knowledge of Microsoft Azure services, including:
Azure App Services
Azure Functions
Azure Storage
Azure Key Vault
Azure DevOps
Programming Skills: Advanced proficiency in C#, with a proven track record of developing and maintaining RESTful APIs.
Database & API Design: Experience with logical and physical database design and modification.
Systems Knowledge: Solid understanding of computer hardware and software fundamentals.
Full SDLC Understanding: Knowledge of the entire software development lifecycle, from requirements gathering to deployment and maintenance.
Live Production Support: Demonstrated experience supporting live systems, including root cause analysis and performance tuning.
Preferred Qualifications:
Experience with development tools such as SQL and Visual Basic.
Familiarity with prompt engineering and integration of Azure AI services into enterprise applications.
Ability to work independently in fast-paced environments.
Strong communication and interpersonal skills.
Mentoring capabilities to support junior engineers or team members.
Salary Range
Pay ranges vary based on multiple factors including, without limitation, skill sets, education, responsibilities, experience, and geographical market. The pay range for this position reflects geographic based ranges for Washington state: $120,000 to $130,000 USD/annually. The salary/wage and job title for this opening will be based on the selected candidate's qualifications and experience and may be outside this range.
Equal Opportunity Employer
Blueprint Technologies, LLC is an equal employment opportunity employer. Qualified applicants are considered without regard to race, color, age, disability, sex, gender identity or expression, orientation, veteran/military status, religion, national origin, ancestry, marital, or familial status, genetic information, citizenship, or any other status protected by law.
If you need assistance or a reasonable accommodation to complete the application process, please reach out to: recruiting@bpcs.com
Blueprint believe in the importance of a healthy and happy team, which is why our comprehensive benefits package includes:
Medical, dental, and vision coverage
Flexible Spending Account
401k program
Competitive PTO offerings
Parental Leave
Opportunities for professional growth and development",N/A,https://www.indeed.com/viewjob?jk=4b46c9bf3ffca92c,False,software engineer
Software Engineer,NEOGOV,"Remote in Ontario, CA",remote,2025-06-19,Indeed,"JOB
This is a remote role from anywhere in the US & Canada.NEOGOV is a fast-growing SaaS leader in the Public Sector with a mission to serve the people who serve the people. Our clients use our software to manage their employee lifecycle from hire to retire by streamlining processes in our centralized platform. We are passionate about technology, focused on customer success, and have an entrepreneurial environment where innovation is encouraged and rewarded.NEOGOV is one of the top 50 fastest growing private software companies in the U.S. — Sound like a company you'd like to join? We are looking for top talent to make significant contributions to our products, technology, and customers.As a Software Engineer you will be delivering new features and capabilities to one of our SaaS products. You can learn more about NEOGOV’s products HERE.

EXAMPLE OF DUTIES
100% of the time you will be involved with hands on development, implementation, troubleshooting and focus on architecture & design, planning Be a role model for design reviews, code and test casesWrite clean code with Unit and Integration testsCollaborate effectively with cross functional & remote teams Work closely with engineering partners and stakeholders to drive organizational alignment

SUPPLEMENTAL INFORMATION
Comprehensive Benefits package (medical, dental, vision, etc.) for full-time employeesGenerous PTO and Flex-Time offRemote working opportunities401K / RRSP Matching 12-week Paid Parental LeaveAutonomy to grow and find your career path with supportive leadershipTruly inclusive and diverse environmentNEOGOV does not discriminate in employment on the basis of race, color, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age, membership in an employee organization, retaliation, parental status, military service, or other non-merit factors.#LI-REMOTE",N/A,https://www.indeed.com/viewjob?jk=4a1ff893e0706c90,False,software engineer
Software Engineer,Gate3,"Remote in Elk Grove Village, IL 60007",remote,2025-06-19,Indeed,"Role Summary:
Responsible for delivering well-designed software components and contributing to the development of software solutions under moderate supervision. Apply strong technical skills to design, develop, test, and maintain software across modern and legacy platforms. Collaborate with team members and participate in architectural and design discussions to build reliable, maintainable products. This role offers opportunities to expand technical expertise and contribute to team success.
Key Responsibilities:
Design, develop, test and deploy software solutions
Lead code reviews to uphold engineering standards and provide constructive feedback; mentor junior engineers to foster technical growth and knowledge sharing
Collaborate with cross-functional teams to gather and implement project requirements
Maintain, refactor and enhance existing codebases, including legacy systems.
Contribute to architectural discussions and technical decision making; evaluate emerging technologies to support strategic growth
Follow and promote best practices in version control, testing and CI/CD pipelines
Diagnose and resolve complex technical issues, delivering robust, long-term solutions under tight deadlines
Drive continuous improvement across the engineering team by identifying opportunities for process optimization and efficient gains.
Minimum Requirements:
2-3 years of professional software development experience
Proficiency in multiple programming languages and frameworks
Solid understanding of version control systems, CI/CD practices, and testing methodologies
Experience with Modern Technologies (e.g., React, Node.js. Python, Go) and Legacy
Technologies (e.g. Net Framework, Java,)
Bachelor’s degree in Computer Science, Software Engineering or a related technical field, or equivalent practical experience.
Strong problem-solving skills and attention to detail.
Effective Communication and collaboration, including client interaction
Job Type: Full-time
Pay: $50,000.00 - $70,000.00 per year
Benefits:
401(k)
401(k) matching
Bereavement leave
Dental insurance
Flexible schedule
Flextime
Food provided
Health insurance
Internet reimbursement
Life insurance
On-site gym
Paid holidays
Paid sick time
Paid time off
Parental leave
Professional development assistance
Snacks provided
Vision insurance
Work from home
Schedule:
8 hour shift
Monday to Friday
Experience:
Software development: 4 years (Required)
Database development: 3 years (Required)
React: 3 years (Preferred)
Angular: 3 years (Preferred)
.NET: 3 years (Preferred)
Node.js: 3 years (Preferred)
Java: 3 years (Preferred)
Debugging: 3 years (Required)
Location:
Elk Grove Village, IL 60007 (Preferred)
Ability to Commute:
Elk Grove Village, IL 60007 (Required)
Work Location: Hybrid remote in Elk Grove Village, IL 60007",N/A,https://www.indeed.com/viewjob?jk=d40bc0cf164be638,False,software engineer
Backend Software Engineer,Jorie AI,Remote,remote,2025-06-19,Indeed,"About Jorie:
Jorie AI, occupies a uniquely interconnected position at the center of the healthcare industry. An inseparable part of today's healthcare billing ecosystem, with leading edge technology that is driving transformation with AI infused Robotic Process Automation for end-to-end Revenue Cycle Management, providing practice and financial management services to the healthcare industry. Applied Intelligence, Better Insight, Accelerated Efficiencies with Jorie AI.

Our work environment:
Remote opportunities
Growth advancement opportunities
Flexible work environment (Work-life Balance)
Collaborative and friendly company culture

Great Benefits:
401(k) matching up to 4%
Medical
Dental
Vision
Long/Short Term Disability insurance
Life insurance $25,000 Paid by employer
PTO 2 weeks
10 and half Holidays

Job Title: Backend Software Engineer
Job Overview:
This role offers the opportunity to drive a technical vision and make a significant impact on a new product from day one. If you are passionate about building high-quality software and leading teams to success, we encourage you to apply.
We are seeking skilled Backend Software Engineers to join our development team, working closely with our Lead Full Stack Software Engineer. You will be responsible for designing, developing, and maintaining robust, scalable, and secure backend services for a new web application. This role focuses on building efficient server-side logic, integrating with databases, and developing RESTful APIs to power our frontend experiences. You will collaborate with front-end engineers, DevOps, and other stakeholders to deliver high-quality solutions that meet business and user needs.

Responsibilities:

Design, develop, and maintain backend services and APIs using Flask or Django and Python.
Build and optimize database models, queries, and stored procedures using MS SQL (or similar RDBMS).
Collaborate with frontend engineers to ensure seamless integration of backend services with user-facing components.
Write clean, efficient, and well-documented code, adhering to best practices for security, scalability, and maintainability.
Implement automated unit and integration tests to ensure code quality and reliability.
Participate in code reviews and provide constructive feedback to team members.
Optimize application performance, conduct load testing, and troubleshoot backend issues.
Contribute technical documentation for both internal and external stakeholders.
Work within Linux-based development environments and participate in deployment processes.
Stay up to date with emerging backend technologies and advocate for continuous improvement.

Requirements:
Must have Healthcare RCM Experience
Bachelor’s degree in Computer Science, Engineering, or a related field, or equivalent practical experience.
2+ years of professional experience in backend web development.
Proficiency in Python and Flask or Django for backend application development.
Strong experience with RESTful API design and implementation.
Solid understanding of relational databases, preferably MS SQL, including schema design and query optimization.
Familiarity with Linux-based development and deployment environments.
Experience with version control systems (e.g., Git).
Strong problem-solving skills and attention to detail.
Excellent communication and teamwork abilities.

Qualifications and Experience:
Experience with additional backend frameworks (e.g., FastAPI) or microservices architectures.
Knowledge of Healthcare and RCM operations.
Familiarity with cloud platforms such as Azure or AWS.
Knowledge of CI/CD pipelines and automated deployment practices.
Experience with performance monitoring and tuning backend systems.
Exposure to frontend technologies (HTML, CSS, JavaScript) is a plus.
Engineering degree preferred
Proficient in Microsoft Office Suite (Word, Excel, PowerPoint, Outlook).
Ability to think strategically and solve complex problems.
Ability to work independently and as part of a team.
Excellent communication and interpersonal skills.
Must be legally authorized to work in the USA. No Contractors, No C2C, No Visa Sponsorship.

Location & Hours:
Remote
Mon-Fri 8:00 AM to 4:30 PMCST
Flexible working hours may be required based on business

Join our growing team and help shape the user experience of a cutting-edge web application from the ground up. If you are passionate about frontend development and eager to work in a collaborative, innovative environment, we encourage you to apply.",N/A,https://www.indeed.com/viewjob?jk=c1dded01547c28bd,False,software engineer
Front End Software Engineer,"Plenful, Inc.","Remote in San Francisco, CA 94108",remote,2025-06-19,Indeed,"About Plenful
Plenful is a healthcare automation and AI technology platform that pairs automation alongside human task management to optimize the manual, administrative workflows that bog down healthcare today. We partner with innovative healthcare organizations to provide better operational outcomes, financial outcomes, and experiences for both patients and healthcare staff.

Our team is a strong blend of healthcare and technology experts with multiple exits under our belts. Our team comes from top companies such as Google, Shields Health Solutions, Goldman Sachs, and numerous enterprise startups. We’re patients too, and we’re passionate about advancing healthcare efficiency through software.

We are backed by exceptional healthcare and technology investors including Bessemer Venture Partners. Our HQ is in San Francisco and we are open to remote work. Learn more about us at Plenful.com.

Join our growing team!

About the role
We are hiring an exceptional Front End Software Engineer to play a key role in our team. At Plenful, we believe the Engineering-Product-Design (EPD) triangle is essential to our product’s success. As a Front End Software Engineer, you will have the opportunity to own critical features and drive engineering efforts as we scale our platform.

What you’ll do
Build features according to product requirements and designs
Conduct code reviews of other engineers’ work
Work cross-functionally with design and customer success to ensure work meets the needs of our customers and prospects
Write PRDs, design documents, and other proposals to share thought process with the team and drive the product forward.
What we’re looking for
3+ years of full-time B2B SaaS front end engineering experience
2+ years of professional experience in React and Typescript.
Strong communication skills and a passion for user-centered design.
Experience with Figma, Design Systems, Python, and modern API frameworks like FastAPI
Bachelors degree in Computer Science or related field

Plenful perks
Great benefits include unlimited PTO, health insurance, meal stipend, health & wellness stipend, team offsites, 401K matching, and stock options
Join an all-star team with direct access to executive leadership
Opportunities to further develop and refine your partnership acumen by partnering with our seasoned leaders",N/A,https://www.indeed.com/viewjob?jk=bb0f675f8e240152,False,software engineer
Machine Learning Engineer,Fragrance.com,Remote,remote,2025-06-19,Indeed,"Position Title: Machine Learning Engineer
Department: Data Engineering
Reports to: Manager of Data Engineering
Classification: Salary (Exempt)

COMPANY PROFILE
Fragrance.com is a worldwide leading beauty e-commerce company created to provide the public with access to the largest inventory of genuine, brand name fragrances, skincare, candles, aromatherapy and more.
JOB OVERVIEW
As a Machine Learning Engineer, you will work closely with the Manager of Data Engineering and cross-functional teams to acquire, clean, and analyze data, build and optimize machine learning models, and deploy them into production. You will play a crucial role in developing models that directly impact business outcomes.
RESPONSIBILITIES
Data Acquisition & Cleaning: Collect and preprocess large datasets, ensuring data quality and transforming raw data into usable formats for model training.
Exploratory Data Analysis (EDA): Perform data analysis to uncover patterns, trends, and insights that inform model development.
Feature Engineering: Identify and create relevant features from raw data to enhance model accuracy and performance.
Model Building & Selection: Develop, select, and fine-tune machine learning models using the most appropriate algorithms for various business applications.
Model Validation & Deployment: Validate models through rigorous testing, ensuring they meet performance standards, and deploy them into production environments.
SKILL/EXPERIENCE/PROFICIENCY REQUIREMENTS
Technical Skills: Proficiency in Python or R, with experience in machine learning libraries (e.g., TensorFlow, PyTorch) and data manipulation, data visualization (Matplotlib or Seaborn) and Structured Query Language (SQL).
Knowledge of Machine Learning Algorithms: Strong understanding of supervised, unsupervised, and reinforcement learning techniques.
Soft Skills: Strong problem-solving abilities, effective communication skills, and a collaborative mindset. Eagerness to learn and stay current with new technologies and methods.
EDUCATIONAL REQUIREMENTS
Bachelor’s degree in Computer Science, Engineering, Mathematics, or a related field.
Relevant coursework or certifications in machine learning is a plus.
PRFERRED, NOT REQUIRED
Proficiency in ML Ops tools (e.g., MLflow or Anaconda)
Experience with Snowflake or Databricks
LIMITATIONS AND DISCLAIMER
The above job description is meant to describe the general nature and level of work being performed; it is not intended to be construed as an exhaustive list of all responsibilities, duties and skills required for the position.
FRAGRANCE.COM BENEFITS:
Medical, Dental, Vision Insurance
PTO and Paid holidays
Paid Sick & Safe Leave
Paid Prenatal Leave
Short Term Disability
Life Insurance
Accident & Critical Illness
Flexible Spending Account
401(k) Retirement Savings Plan and match
Employee Discounts
**This is a direct hire. No agencies or recruiters please**
Applicants must be authorized to work for any employer in the U.S. We are unable to sponsor or take over sponsorship of an employment Visa at this time.


Fragrance.com is firmly committed to the principle of equal employment opportunity. Fragrance.com offers employment opportunities without regard to race, color, sex, age, religion, national origin, disability, U.S. military and or other prohibited bases of discrimination, both state and local. All aspects of the employment relationship (including recruiting, hiring, training, working conditions, compensation, promotion, discipline, and termination) are subject to this policy.",N/A,https://www.indeed.com/viewjob?jk=a35eca3eb63d27a3,False,software engineer
Software Engineer II,Ocient,"Remote in Chicago, IL",remote,2025-06-19,Indeed,"Job Title: Software Engineer II, Solutions
Location: Remote (US Based Only)
*We cannot sponsor or transfer any visas, of any kind, at this time*
Hiring Manager: Senior Engineering Manager, I/O & Solutions
Estimated salary range: $125,000 to $160,000
The salary offered for this position will be based on a candidate’s experience and skill demonstrated during interviews and other evaluations
About Ocient:
Ocient is a hyperscale data solutions company headquartered in Chicago, IL, enabling organizations to analyze trillions to quadrillions of data records in seconds. Over the past five years, Ocient has built a SQL compliant data warehouse for Petabyte and beyond datasets that is 10x to 50x times faster than competitive OLAP databases.
Job Description:
Ocient is seeking a skilled Software Engineer with exceptional problem-solving abilities and a keen interest in tackling complex challenges. In this role, you will work alongside leading software architects to design and implement innovative features for our proprietary SQL database.
You can work in our Chicago office or remotely from anywhere in the United States.
Responsibilities:
Design and prototype innovative solutions to enhance query processing performance of our database.
Implement new functionalities in C++ and develop automated tests using Python to ensure stability and reliable performance.
Collaborate across other engineering teams to investigate software issues and brainstorm possible solutions.
Minimum Qualifications:
BS, MS, or PhD in computer science, computer engineering, or related technical field.
Industry experience writing code to solve complex problems using an object-oriented programming language.
Familiarity with CPU architecture and assembly code.
Strong understanding and application of data structures and algorithms.
Experience with C or C++.
Ability to speak and write in English fluently.
An ideal candidate will have:
Experience architecting high performance, distributed systems.
Ability to own and manage all risk associated with large complex problems.
Strong technical leadership and communication skills.
Experience with C/C++ build and test tools.
We are not open to using an agency or staffing company at this time. We do not accept unsolicited agency or staffing resumes and we are not responsible for any fees related to unsolicited resumes.
Ocient provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type and makes all hiring decisions without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",N/A,https://www.indeed.com/viewjob?jk=6d48aa0297a1c024,False,software engineer
Software Engineer,Deep Reef,Remote,remote,2025-06-19,Indeed,"Overview
We are seeking a talented and motivated Software Engineer to join our dynamic team here at DeepReef. We're based in Colorado but this role is fully remote. The ideal candidate will have a strong background in software development and a passion for creating innovative solutions. You will play a key role in designing, developing, and maintaining software applications that enhance our IT infrastructure and deliver exceptional user experiences. If you thrive in an Agile environment and are eager to tackle complex challenges, we want to hear from you.
Responsibilities
Design, develop, and implement software solutions using tools such as Typescript, node.js, React and JavaScript.
Collaborate with cross-functional teams to define project requirements and specifications.
Conduct code reviews and maintain high standards of code quality.
Troubleshoot, debug, and optimize existing applications for performance improvements.
Engage in web development projects, ensuring responsive design and functionality across various platforms.
Utilize MySQL and SQL for database management and data manipulation tasks.
Participate in Agile ceremonies including sprint planning, stand-ups, and retrospectives to ensure timely delivery of projects.
Document software processes, code changes, and technical specifications for future reference.
Requirements
Bachelor’s degree in Computer Science or a related field, or equivalent practical experience.
Familiarity with web development technologies and frameworks.
Strong understanding of database management systems, particularly MySQL and SQL.
Experience with Agile methodologies and practices.
Excellent problem-solving skills and the ability to work collaboratively within a team environment.
Strong communication skills to effectively convey technical concepts to non-technical stakeholders.
Join us as we innovate the future of technology through cutting-edge software solutions!
Job Type: Full-time
Pay: $70,000.00 - $110,000.00 per year
Benefits:
Flexible schedule
Schedule:
Day shift
Weekends only
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=74366bdfec3392f9,False,software engineer
